time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
0.00301,-0.272628666,-0.176777289,-0.047018469,0.088788032,0.145890143
0.003011,-0.283865066,-0.193944289,-0.028291269,0.152148532,0.155878143
0.003012,-0.256398666,-0.234519789,-0.020800329,0.143409032,0.123417343
0.003013,-0.336301466,-0.337519789,-0.013309449,0.152148532,0.075974943
0.003014,-0.512337866,-0.449883289,-0.033909429,0.202399432,0.053502543
0.003015,-0.624701866,-0.485776789,-0.108818529,0.263575232,0.070981263
0.003016,-0.667149866,-0.467049789,-0.219309129,0.259205832,0.095950943
0.003017,-0.733317866,-0.465489289,-0.320436129,0.191475232,0.123417343
0.003018,-0.733317866,-0.496701289,-0.412199529,0.088788032,0.183344543
0.003019,-0.643429866,-0.484216289,-0.502090329,-0.055412038,0.330666143
0.00302,-0.499853866,-0.421792289,-0.558272529,-0.208351468,0.492968543
0.003021,-0.372505866,-0.428034789,-0.635052129,-0.295745068,0.492968543
0.003022,-0.325065066,-0.468610289,-0.784872129,-0.306669268,0.348144543
0.003023,-0.326313466,-0.481095289,-0.964656129,-0.315408768,0.173356543
0.003024,-0.360022666,-0.518547289,-1.028328129,-0.422466068,0.098447743
0.003025,-0.428689866,-0.612187289,-1.026456129,-0.603808068,0.036023743
0.003026,-0.476129866,-0.682412289,-1.063908129,-0.772044668,-0.046376177
0.003027,-0.469889866,-0.718307289,-1.153800129,-0.894390668,-0.121285057
0.003028,-0.466141866,-0.713627289,-1.249308129,-1.012375668,-0.276097057
0.003029,-0.536057866,-0.660562289,-1.408488129,-1.189349668,-0.540775457
0.00303,-0.617209866,-0.621547289,-1.575162129,-1.383795668,-0.892846657
0.003031,-0.622205866,-0.621547289,-1.648200129,-1.490853668,-1.189990657
0.003032,-0.498605866,-0.663687289,-1.610742129,-1.534554668,-1.339806657
0.003033,-0.404969866,-0.741717289,-1.502124129,-1.517075668,-1.334814657
0.003034,-0.503597866,-0.821307289,-1.374780129,-1.444975668,-1.272382657
0.003035,-0.613465866,-0.854077289,-1.290510129,-1.364132668,-1.267390657
0.003036,-0.597233866,-0.875927289,-1.230582129,-1.313879668,-1.314838657
0.003037,-0.529817866,-0.933672289,-1.140690129,-1.276737668,-1.347294657
0.003038,-0.534809866,-0.997657289,-1.065780129,-1.263633668,-1.322326657
0.003039,-0.563525866,-1.007017289,-1.018962129,-1.228675668,-1.287366657
0.00304,-0.567269866,-1.030427289,-0.975888129,-1.178422668,-1.267390657
0.003041,-0.554785866,-1.133427289,-0.944052129,-1.139096668,-1.214958657
0.003042,-0.551041866,-1.189607289,-0.914088129,-1.097586668,-1.142542657
0.003043,-0.574761866,-1.133427289,-0.878508129,-1.034222668,-1.127558657
0.003044,-0.572265866,-1.017942289,-0.826074129,-0.975233668,-1.137550657
0.003045,-0.549793866,-0.913382289,-0.728688129,-0.872543668,-1.125062657
0.003046,-0.533561866,-0.838472289,-0.640674129,-0.789516668,-1.100094657
0.003047,-0.452409866,-0.713627289,-0.565763529,-0.785148668,-1.132558657
0.003048,-0.220192666,-0.584097289,-0.496472529,-0.789516668,-1.237430657
0.003049,0.041988974,-0.465489289,-0.447781329,-0.741454668,-1.319830657
0.00305,0.175576534,-0.356246789,-0.346654329,-0.638766068,-1.269886657
0.003051,0.154352534,-0.270413789,-0.191218329,-0.516414468,-1.080118657
0.003052,0.096922134,-0.178337789,-0.045145749,-0.404987068,-0.817942657
0.003053,0.058219254,-0.047247289,0.050363211,-0.284820868,-0.538278657
0.003054,0.013273854,0.107252711,0.172090071,-0.140620868,-0.278593857
